time,mem_usage_ram,mem_usage_swap,net_fifo_n3_receive,net_fifo_n3_transmit,net_packets_eth0_received,net_packets_eth0_sent,net_packets_eth0_multicast,io_read,io_write,pgfaults_pgfault,pgfaults_swap,mem_anon,mem_kernel_stack,mem_slab,mem_sock,mem_anon_thp,mem_file,net_events_n3_frames,net_events_n3_collisions,net_events_n3_carrier,net_drops_n3_inbound,net_drops_n3_outbound,net_packets_n3_received,net_packets_n3_sent,net_packets_n3_multicast,mem_usage_limit_available,mem_usage_limit_used,cpu_user,cpu_system,net_n3_received,net_n3_sent,mem_utilization_utilization,cpu_limit_used,net_errors_n3_inbound,net_errors_n3_outbound
2025-07-07 14:17:59,285.0508,0,0,0,0,0,0,0,0.0,9.352468,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68857.88,0,0,226.9492,285.0508,0.7844591,0.4009049,611458.0,0,55,4.88,0,0
2025-07-07 14:18:00,285.0391,0,0,0,0,0,0,0,-4.877122,9.358278,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68944.4,0,0,226.9609,285.0391,0.3371586,0.9353494,612225.8,0,55,5.2256,0,0
2025-07-07 14:18:01,285.0469,0,0,0,0,0,0,0,-3.122878,9.3548,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68877.86,0,0,226.9531,285.0469,0.4902134,0.7403399,611635.7,0,55,4.7264,0,0
2025-07-07 14:18:02,285.0391,0,0,0,0,0,0,0,0.0,9.388745,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68896.87,0,0,226.9609,285.0391,0.3049526,1.0369479,611804.3,0,55,5.778,0,0
2025-07-07 14:18:03,285.0391,0,0,0,0,0,0,0,0.0,9.37875,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,69001.47,0,0,226.9609,285.0391,0.1841605,1.1949139,612733.1,0,55,5.3476,0,0
2025-07-07 14:18:04,285.043,0,0,0,0,0,0,0,0.0,9.368343,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,69030.57,0,0,226.957,285.043,0.5041459,0.9606019,612992.9,0,55,6.1884,0,0
2025-07-07 14:18:05,285.0508,0,0,0,0,0,0,0,0.0,9.366908,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,69052.59,0,0,226.9492,285.0508,0.3530563,1.0728861,613185.9,0,55,5.3952,0,0
2025-07-07 14:18:06,285.0469,0,0,0,0,0,0,0,-2.438693,9.394001,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,69060.09,0,0,226.9531,285.0469,0.1383425,1.251427,613253.2,0,55,5.6628,0,0
2025-07-07 14:18:07,285.043,0,0,0,0,0,0,0,-1.5613066,9.410739,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68866.65,0,0,226.957,285.043,0.3433594,1.0340121,611535.3,0,55,5.41,0,0
2025-07-07 14:18:08,285.0508,0,0,0,0,0,0,0,0.0,9.379741,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68842.53,0,0,226.9492,285.0508,0.6903997,0.5887634,611322.0,0,55,4.9272,0,0
